District,Year,Kharif_Area,Kharif_Production,Kharif_Yield,Rabi_Area,Rabi_Production,Rabi_Yield
Mahbubnagar,2011 - 2012,120826,266609,2.21,51242,129950,2.54
Mahbubnagar,2012 - 2013,97000,257000,2.65,45000,124000,2.76
Mahbubnagar,2013 - 2014,103744,301561,2.91,64886,177139,2.73
Mahbubnagar,2014 - 2015,111302,282357,2.54,49468,135740,2.74
Mahbubnagar,2015 - 2016,66075,149451,2.26,30203,65571,2.17
Mahbubnagar,2016 - 2017,32691,92029,2.82,19638,50136,2.55
Mahbubnagar,2017 - 2018,31129,60217,1.93,27990,82682,2.95
Mahbubnagar,2018 - 2019,11792,28749,2.44,6839,17727,2.59
Mahbubnagar,2019 - 2020,13972,48385,3.46,17109,56682,3.31
Mahbubnagar,2020 - 2021,46227,139363,3.01,48979,178871,3.65
Mahbubnagar,2021 - 2022,68867,231600,3.36,29345,102737,3.5
Mahbubnagar,2022 - 2023,76436,257360,3.37,59454,209694,3.53
Mancherial,2016 - 2017,27651,85954,3.11,14572,53989,3.7
Mancherial,2017 - 2018,29897,56949,1.9,17437,64622,3.71
Mancherial,2018 - 2019,39549,127625,3.23,20738,75860,3.66
Mancherial,2019 - 2020,65137,174176,2.67,38616,164002,4.25
Mancherial,2020 - 2021,66224,160706,2.43,44712,174690,3.91
Mancherial,2021 - 2022,65811,169068,2.57,25313,77002,3.04
Mancherial,2022 - 2023,63784,194350,3.05,41820,136291,3.26
Medak,1997 - 1998,47700,83500,1.75,25700,51600,2.01
Medak,1998 - 1999,70700,172100,2.43,52100,131400,2.52
Medak,1999 - 2000,78489,159097,2.03,34338,63285,1.84
Medak,2000 - 2001,85328,214003,2.51,37841,122226,3.23
Medak,2001 - 2002,76008,190704,2.51,32440,85642,2.64
Medak,2002 - 2003,59589,125852,2.11,17738,31183,1.76
Medak,2003 - 2004,63923,164218,2.57,22380,51787,2.31
Medak,2004 - 2005,49327,95546,1.94,13134,28934,2.2
Medak,2005 - 2006,59452,171519,2.88,25821,75810,2.94
Medak,2006 - 2007,63532,166136,2.61,38446,109110,2.84
Medak,2007 - 2008,58000,164000,2.83,35000,118000,3.37
Medak,2008 - 2009,78658,206477,2.62,45254,150967,3.34
Medak,2009 - 2010,49470,133272,2.69,33645,99421,2.96
Medak,2010 - 2011,81914,285893,3.49,62644,229026,3.66
